"epiweek2","n","sum_genomes","Date","pcr_type","loglevels","tested","year","week","Country","end"
"2023w45",0,179.3,"w","dPCR",2.25358028956218,-0.3,2023,45,"South African SARS-CoV-2 Wastewater Levels",2023-11-11
"2023w46",0,366.9,"w","dPCR",2.56454771175595,-0.3,2023,46,"South African SARS-CoV-2 Wastewater Levels",2023-11-18
"2023w47",0,170.28,"w","dPCR",2.2311636415051,-0.3,2023,47,"South African SARS-CoV-2 Wastewater Levels",2023-11-25
"2023w48",0,48.67,"w","dPCR",1.68726134624351,-0.3,2023,48,"South African SARS-CoV-2 Wastewater Levels",2023-12-02
"2023w49",0,22.17,"w","dPCR",1.34576569311449,-0.3,2023,49,"South African SARS-CoV-2 Wastewater Levels",2023-12-09
"2023w50",0,33.13,"w","dPCR",1.52022143588196,-0.3,2023,50,"South African SARS-CoV-2 Wastewater Levels",2023-12-16
"2023w51",0,12.12,"w","dPCR",1.08350261983027,-0.3,2023,51,"South African SARS-CoV-2 Wastewater Levels",2023-12-23
"2023w52",0,2.34,"w","dPCR",0.369215857410143,-0.3,2023,52,"South African SARS-CoV-2 Wastewater Levels",2023-12-30
"2024w1",60,2.86,"w","dPCR",0.456366033129043,-0.3,2024,1,"South African SARS-CoV-2 Wastewater Levels",2024-01-13
"2024w2",56,19.34,"w","dPCR",1.28645646974698,-0.3,2024,2,"South African SARS-CoV-2 Wastewater Levels",2024-01-13
"2024w3",64,35.15,"w","dPCR",1.54592532935584,-0.3,2024,3,"South African SARS-CoV-2 Wastewater Levels",2024-01-20
"2024w4",64,33.63,"w","dPCR",1.52672686731464,-0.3,2024,4,"South African SARS-CoV-2 Wastewater Levels",2024-01-27
"2024w5",49,46.57,"w","dPCR",1.66810623793273,-0.3,2024,5,"South African SARS-CoV-2 Wastewater Levels",2024-02-03
"2024w6",52,26.33,"w","dPCR",1.42045085910607,-0.3,2024,6,"South African SARS-CoV-2 Wastewater Levels",2024-02-10
"2024w7",55,121.62,"w","dPCR",2.08500499907665,-0.3,2024,7,"South African SARS-CoV-2 Wastewater Levels",2024-02-17
"2024w8",74,NA,"w","dPCR",NA,NA,2024,8,"South African SARS-CoV-2 Wastewater Levels",2024-02-24
"2024w9",16,NA,"w","dPCR",NA,NA,2024,9,"South African SARS-CoV-2 Wastewater Levels",2024-03-02
